,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-04-06,1067234.1337665292,1102848.832197849,967260.1433962934,1075158.296986141,1033065.6049227373,1004778.8953219651,1004953.9269882677
2022-04-07,1072537.839477894,1104473.4441363255,971071.1245059125,1077231.8398962705,1039544.2096209185,1012720.8711915028,1007490.1218470535
2022-04-08,1074320.8649486275,1109998.6703326146,969662.2886675947,1077295.2987601545,1042474.0915178912,1019573.1053384616,1011497.257377292
2022-04-11,1062687.9949001046,1098593.4018999974,951863.4072360151,1063811.2830750654,1031903.9331164019,1000402.6599451321,999464.4710815522
2022-04-12,1058211.8218806954,1099267.6364123265,947434.5719470136,1062231.219821739,1028048.8172411578,1000046.8002671581,996909.0445212752
2022-04-13,1071785.3973315926,1109424.7078539769,960100.2985400312,1076394.4705176924,1039018.0902056353,1014477.0809055732,1006937.1819799184
2022-04-14,1067969.8945773812,1114369.2399279515,955613.715150749,1072158.098433006,1033094.7951540606,1002106.9928301179,1003634.7915818405
2022-04-18,1062272.8050960274,1111330.2167193333,951600.7985095136,1069906.1950240706,1027646.7146258013,995784.0758758149,1002482.9378392716
2022-04-19,1076266.9356731148,1123844.0668322484,970268.4066256635,1082969.8372535054,1039805.2700152056,1011678.4495505112,1017034.6218421602
2022-04-20,1083577.7335513802,1132028.6921832005,978945.412668144,1088416.884914005,1052339.526187386,1021246.0599630598,1024305.6843674944
2022-04-21,1077243.4888499947,1118689.8493182103,967900.2082614057,1081580.883300369,1044650.0593065874,1010678.4462397469,1013584.2952787653
2022-04-22,1050752.0075267525,1085409.730696384,939775.3489779584,1054017.1378566434,1021056.8860354082,980986.3165649748,984995.1761430401
2022-04-25,1056940.814377186,1091921.6831194798,950617.4635104291,1062938.268829807,1029989.0173296587,988031.4227480056,991930.4235731044
2022-04-26,1033189.6971782418,1068789.5459734837,924846.0005511396,1037812.9466520116,1007616.0490221636,964020.2131986464,968354.405891774
2022-04-27,1028381.7263301583,1061210.186354343,936012.2781466596,1032181.463682842,1004807.9344286578,964988.1877636923,970153.3096620296
2022-04-28,1038960.1360820504,1071737.4463641087,959579.5120638959,1036424.663231094,1022554.1491045611,995361.0246074799,988053.8132594957
2022-04-29,1012477.0685486031,1049316.0095354954,934733.901201164,1007539.6906376188,999188.2422213213,963617.9440973975,960693.5884693546
2022-05-02,1006179.27486269,1049223.5679156224,944250.3081378095,1001438.2689118001,1000230.3787951128,965010.1908734273,963149.1012195174
2022-05-03,1007975.142919941,1054048.5303179661,941151.5975894086,1007289.7684302938,1000153.435168709,964674.5101646825,965109.369207019
2022-05-04,1031357.269205494,1081337.404967014,971265.3545092695,1033529.7630923077,1026492.672404732,991360.8716912942,992268.2870152786
2022-05-05,1008344.0368179512,1054056.6830126683,934269.7191790693,1002444.9817738873,997486.0316271441,952966.1314609895,961298.3059943506
2022-05-06,1009575.1826309395,1054751.4316851536,925105.1019381635,1003039.9858584554,997380.5518297808,947317.731568899,958425.9546491443
2022-05-09,989024.456037922,1026050.5009142797,909020.4712390058,981933.7348066594,981946.031199898,933916.0692527606,939383.15626133
2022-05-10,987660.6337684823,1023181.741636936,906800.3926867597,987344.8117977215,978225.1035494463,932073.691223478,936908.1273170502
2022-05-11,982366.5921577645,1020325.4415270727,891277.0777072065,972339.4328476789,967564.7575869219,909066.3958757778,927392.7024682808
2022-05-12,978648.3303512764,1015619.1819445532,889504.6904620283,964182.7247133786,968151.5967058794,903713.2746800103,924368.5458580491
2022-05-13,988683.1751388741,1025006.7599169653,904945.4465731733,976906.5840764348,977356.8108019488,922695.8137861624,937954.548092568
2022-05-16,990475.8424247933,1031746.6202380102,906427.2954730146,976350.8663609197,981164.997630562,921432.8984937583,938734.1147852638
2022-05-17,994951.2812294198,1051134.6934191624,918055.4480456464,995354.2258290899,994647.3386644976,915023.2676696982,951294.9762926606
2022-05-18,960954.2066024971,1017465.2844683569,880692.0769900434,966403.7904822424,957400.5935778277,866401.0526115596,917370.1410650994
2022-05-19,956659.3118385506,1010638.2958514135,871156.7054080121,957552.6882253377,953051.358127083,860873.8891595714,910467.6102869802
2022-05-20,962143.7857765389,1004849.2149493139,867141.958345329,959517.74360527,952530.7099108355,865922.6508161202,910723.0846647779
2022-05-23,980294.614290638,1025453.9918200414,881439.0339678876,982617.6143846203,965569.2304949419,881121.5109787581,928736.5887331362
2022-05-24,983039.538698597,1029587.6783282202,882307.1946200483,979184.3347194402,973508.2139391558,881150.0419765101,930145.9652004068
2022-05-25,985834.5464767647,1035273.0350787084,890426.4839114301,984914.9381234089,976716.3097567217,885770.8050000498,935729.4174706239
2022-05-26,997955.3523239327,1048266.1216723364,906430.053506767,998399.4921878659,990166.6273073809,904953.8394587965,950788.0673323491
2022-05-27,1014860.3999427987,1064850.8035723607,924891.91964904,1019109.5167135351,1006862.0116915362,925177.174142052,967561.4680456745
2022-05-31,1010378.916860981,1054833.0475298802,917645.5307864301,1016405.7888984715,999487.9668993609,915214.1412330185,961069.6877204106
2022-06-01,1000693.2487358284,1050463.213637058,918725.1926745527,1007947.6885331456,990345.494555916,910030.6303811508,955916.5020971658
2022-06-02,1006616.0943092537,1060949.5877062718,936989.4554919355,1013950.4478310506,1002082.4102663653,926859.1252508813,968590.4209739799
2022-06-03,997776.9563011361,1055876.9557787816,928473.0815371625,1000550.3850911595,994052.2207827227,909802.1892293183,958435.5136013648
2022-06-06,997909.7275375557,1060313.8368822972,926892.4797762983,999295.1421696508,995423.0781511919,911137.2898036768,958904.016057219
2022-06-07,1003895.8161873055,1072409.0884234349,934992.5363864057,1009658.4327337987,1002292.4861254351,916842.2700289633,966605.3452295252
2022-06-08,996134.6593612862,1067724.685560886,928551.7135027997,1003858.5190099865,991245.5807451861,910435.1660510679,958761.769744414
2022-06-09,976350.3848404122,1045993.9939257543,913805.5031909101,978413.4976039426,977050.836757149,898244.8444229026,940172.3388047713
2022-06-10,959520.8429550362,1024615.4767443578,883862.7822207563,954721.0387331541,954701.0905184405,876943.7873110968,914536.1393258254
2022-06-13,934971.1468948555,995007.5924517553,855849.5559939496,925889.8414464032,933024.9636492388,850193.898835418,889015.045563201
2022-06-14,934778.5390037728,990026.5411364477,852100.5149554365,925590.0617903516,929416.884967293,844414.9141987483,884589.5920762658
2022-06-15,945485.275896473,998959.8412157934,861752.8915804975,937574.6855029371,938607.9766420977,852535.6679122451,893436.9713415785
2022-06-16,931620.2721733284,976094.5180498998,837079.6470126264,911385.178337898,923836.6205706255,833306.2505658775,871836.7549451077
2022-06-17,933447.5497039986,969948.6986987035,839406.9792803876,922797.2602203976,923611.8195757525,830012.5133281992,870721.2593600919
2022-06-21,959848.063383503,995182.4299151342,852622.898706352,942289.8000480039,942654.9812655108,854984.0035145048,889408.6126614695
2022-06-22,966145.5529808236,990983.5176684301,846581.0243319623,943291.0602963254,947786.2926897662,855457.3157603326,888035.9357429025
2022-06-23,978815.3756584359,985786.9428545873,854154.7392977827,950205.5441642263,956038.374736275,875258.5074997649,893694.2095736548
2022-06-24,994095.086744709,1006484.3929278295,882168.2099169843,971294.8012131383,977312.9705385821,888881.5278277416,917679.2138535619
2022-06-27,996368.2247032357,1012399.4752032202,876228.4715746992,969010.7750890194,977036.0183748858,891979.7154928847,915860.7938891894
2022-06-28,986032.8482078743,1007446.3857714575,852401.4164828412,954151.453516029,962490.942225899,870489.2020136224,901549.1078652652
2022-06-29,993341.2062865716,1003566.6874377172,852465.3369845502,957910.975470413,968446.404498543,879017.0082478096,903947.2669021052
2022-06-30,984924.5660583001,997420.2632738989,845756.0600146406,948248.8218916928,966755.4071612017,872342.9180011407,896551.1983170782
2022-07-01,997089.7362090569,1005660.3680865209,852909.9522418134,959672.9708345868,978737.3478426592,882520.9977791067,905926.7665910978
2022-07-05,993264.6605712395,987427.2292162817,855321.2891024702,962427.5882914845,972393.2083391802,888079.9156933401,902155.9306356908
2022-07-06,996402.4743072015,991188.7227312963,858928.6173876874,962771.2772322805,977936.6817812579,896023.8853100962,904191.0770822527
2022-07-07,1004247.6128379327,1003165.5561053198,870588.7783908002,977763.0617787282,984150.7861361163,905877.8010350759,914296.1413468609
2022-07-08,1005610.6422034722,1001663.1473681371,868051.0990008466,980331.7390697133,983254.7893557207,908637.9549902056,912944.4030855387
2022-07-11,1003715.6403075677,994457.4521929662,863106.0167330854,972990.0049226835,981977.2223696368,903001.7563548881,908157.7008626044
2022-07-12,1005116.4657470208,992208.5834643285,849256.7866076581,975010.4414090802,977968.2370867388,899810.5679183772,902549.4977339593
2022-07-13,997335.4992095452,979216.6429583471,846332.0398654096,972114.8775197713,971258.712474312,894641.1270029596,896474.2715111133
2022-07-14,1001739.4681666604,973148.5253741186,844289.2029360883,974132.8894469411,970581.9808687823,903037.3023064709,892319.4843081833
2022-07-15,1022742.6625945931,997237.482954685,857662.3275469892,988883.6703891713,985365.4966539996,924314.2334565533,911490.9871598236
2022-07-18,1008203.9880721932,987444.747786228,852051.6265048139,973224.5196399648,974377.4088244097,914298.0038866792,905208.6503055337
2022-07-19,1025805.9101760751,1008068.373503391,870413.440553581,995237.2982273061,991754.8386034624,936447.6148151748,927187.0711984901
2022-07-20,1019623.4245384103,1004312.0714709203,876750.8566607587,999674.8254642446,986501.7530169146,938489.0390488289,928579.264311174
2022-07-21,1023816.3664863473,1007731.5375048559,883298.731202995,1006497.9217929799,989857.3781008379,948469.1481728568,933300.4194331678
2022-07-22,1019455.5254600411,1003932.7472674291,880539.3644122236,1003295.4201488454,989395.1712984698,945091.9790851908,929291.5200486506
2022-07-25,1022511.3185356027,1013868.5650164526,879220.5524539106,1005852.4829006154,991707.5083498614,945634.2985641824,931935.2531199169
2022-07-26,1020076.8260238534,1013264.9421374243,864659.9680804365,1003396.0084438283,992880.0972323077,924590.3945492185,925278.5808688496
2022-07-27,1028870.2601287728,1021488.0968310278,887437.9547900312,1016086.4201717336,1001483.1443819659,943031.8408175681,937981.6317905261
2022-07-28,1035883.4160011178,1032360.7651659887,902177.2432650678,1017348.9632778127,1011294.7148089068,953247.7536264736,947654.6655538832
2022-07-29,1039146.1194923287,1051718.3188311497,912164.669320976,1029681.0682964284,1011613.7537874834,967005.09805675,956845.7688094575
2022-08-01,1039870.8443153268,1047568.4962756078,911400.9904421918,1026944.6357746084,1016096.218333687,965625.5278955459,955484.4146973898
2022-08-02,1029529.9675567513,1031335.7675005834,898493.435563957,1014104.7220210988,1005454.3187136309,958890.5532680785,943766.6755352501
2022-08-03,1040753.4614379769,1039221.39456052,913660.3707598798,1035876.9381046254,1018485.6953081744,974987.7404146355,955895.2220487702
2022-08-04,1034493.5927436715,1031006.068602268,916391.4309100263,1035379.1659564931,1017004.6682390826,966706.1367734675,953399.1975487205
2022-08-05,1034795.9336746102,1032948.3829638403,917432.0623187177,1034994.2932605703,1017731.6391558306,969429.1649526058,955632.1232686064
2022-08-08,1037219.0834205514,1036162.5511919897,918522.4731082075,1034390.1849842031,1020225.5974383013,972132.3528482015,956479.0009165215
2022-08-09,1038410.3273780709,1037177.2499071996,913372.4589480512,1035990.2442417104,1020743.4319338457,965932.9280522249,954785.5870118419
2022-08-10,1049784.3057830697,1050217.2797991673,931559.5661257856,1055791.8461933094,1033453.431842293,980443.7708065347,970374.189736553
2022-08-11,1047288.2802017098,1054369.1092059056,932450.9521578901,1049075.2062511402,1031087.6405596392,978925.0390520873,971165.4206268988
2022-08-12,1061766.992409504,1066926.1162096898,946829.0306567304,1059539.7013950306,1045657.4195360796,997045.1051959242,983528.4459624465
2022-08-15,1070036.7415359383,1068949.7719714085,949295.7018450849,1066738.5432033497,1050368.492969002,999829.366206879,987938.7644416991
2022-08-16,1078716.4655921822,1075752.7093340794,957706.6124514692,1071193.3560314137,1059645.1279329914,1017434.6770982235,994917.9375331576
2022-08-17,1074744.446972645,1070921.4479510228,953197.3013247602,1069827.9354419666,1055729.770678963,1017554.0303995011,989916.2157837874
2022-08-18,1075201.3803794747,1074973.6944720189,954478.0333422773,1069910.6812267262,1057254.5977892536,1015702.1685576644,990461.5312485562
2022-08-19,1070212.5208976632,1070391.4459216038,943731.327310478,1061793.508016582,1051239.037326302,1005890.4637244523,981946.2117758553
2022-08-22,1052895.0280883675,1055060.0069262425,921207.8766955488,1041406.0572452504,1032807.3195070879,985957.2697253095,963210.5516266491
