,date,account_value
292,2022-03-16,1955207.7156000005
293,2022-03-20,1936535.0156000007
294,2022-03-21,1947674.8156000006
295,2022-03-22,1967520.2156000005
296,2022-03-23,1964420.0156000005
297,2022-03-24,1959987.6156000004
298,2022-03-27,1955408.0156000003
299,2022-03-28,1957231.7156000005
300,2022-03-29,1950323.3156000003
301,2022-03-30,1949435.5156000003
302,2022-03-31,1959076.6156000006
303,2022-04-03,1956348.5156000003
304,2022-04-04,1952050.0156000005
305,2022-04-05,1948089.8156000006
306,2022-04-06,1942275.8156000006
307,2022-04-07,1939705.6156000004
308,2022-04-10,1942890.4156000004
309,2022-04-11,1941762.5156000005
310,2022-04-12,1928458.3156000006
311,2022-04-13,1928746.4156000006
312,2022-04-17,1923972.1156000006
313,2022-04-18,1916586.6156000004
314,2022-04-19,1925341.8156000006
315,2022-04-20,1939236.6156000004
316,2022-04-21,1947331.2156000007
317,2022-04-24,1948051.2156000005
318,2022-04-25,1949015.9156000004
319,2022-04-26,1959289.2156000005
320,2022-04-27,1954539.9156000004
321,2022-04-28,1958535.4156000004
322,2022-05-05,1971677.5156000005
323,2022-05-08,1964289.1156000004
324,2022-05-09,1967193.5156000005
325,2022-05-10,1957353.0156000003
326,2022-05-11,1949018.9156000004
327,2022-05-12,1941713.7156000005
328,2022-05-16,1917412.0156000005
329,2022-05-17,1909287.6156000004
330,2022-05-18,1882885.0156000007
331,2022-05-19,1873357.2156000007
332,2022-05-22,1847075.8156000003
333,2022-05-23,1866896.7156000005
334,2022-05-24,1859467.0156000005
335,2022-05-25,1851038.2156000005
336,2022-05-26,1862107.5156000005
337,2022-05-29,1888271.2156000005
338,2022-05-30,1891259.8156000006
339,2022-05-31,1886871.1156000006
340,2022-06-01,1898841.1156000004
341,2022-06-02,1899862.9156000004
342,2022-06-05,1908500.1156000004
343,2022-06-06,1905463.0156000005
344,2022-06-07,1895587.6156000006
345,2022-06-08,1896771.4156000004
346,2022-06-09,1897069.8156000003
347,2022-06-12,1893475.4156000004
