date,a2c,ddpg,td3,ppo,sac,mvo
2021-12-20,2521213.7998000006,2284900.1018499997,2347646.3414000003,2242840.6066000005,2393990.60635,2210083.5625974056
2021-12-21,2490783.2998000006,2264418.70185,2364358.4414,2234570.1775,2353883.40635,2202706.433612577
2021-12-22,2440542.3998000002,2228320.40185,2340386.3414000003,2210785.7485999996,2305547.90635,2170571.921726242
2021-12-23,2407577.5998000004,2201234.0018499997,2316627.5414000005,2196829.6112,2277594.3063499993,2147862.731491414
2021-12-26,2441955.5998000004,2218195.5018499997,2297185.2414,2206613.0826999997,2327171.00635,2153536.1455521863
2021-12-27,2454792.3998000002,2230667.1018499997,2295846.5414,2211281.05445,2339486.00635,2162459.507376065
2021-12-28,2424680.5998000004,2214041.70185,2303231.4414,2211352.3258500006,2302700.90635,2151449.0027825525
2021-12-29,2454764.1998000005,2238179.70185,2301320.2413999997,2219174.7882499998,2337402.1025999994,2162904.290717474
2021-12-30,2467862.7998000006,2258659.5018499997,2313795.3414000003,2228795.4594,2351128.5025999993,2172483.67389041
2022-01-02,2502786.7998000006,2282510.90185,2355136.6414,2241870.4302499997,2383261.4025999997,2207269.7563068075
2022-01-03,2461856.3998000002,2250778.6018499997,2339610.8414000003,2227503.30065,2342418.1025999994,2183285.78097409
2022-01-04,2452993.9998000003,2241899.5018499997,2338624.2413999997,2224868.37115,2331585.7025999995,2177464.6208827635
2022-01-05,2474683.3998000002,2253747.40185,2324362.8414000003,2231031.4327000002,2360149.2025999995,2180664.242215649
2022-01-06,2459562.2998000006,2248491.70185,2335264.9414,2235541.60295,2341610.3025999996,2178071.127012332
2022-01-09,2480549.0998000004,2259924.80185,2342309.8414000003,2254346.9129500003,2356601.502599999,2184677.144323673
2022-01-10,2486403.6998000005,2262265.20185,2355863.4414,2269418.7092500003,2350275.402599999,2182018.9985351805
2022-01-11,2493823.0998000004,2267764.70185,2376920.0414000005,2288320.52075,2357150.4025999997,2190389.916985804
2022-01-12,2490616.0998000004,2272046.70185,2390683.7413999997,2275472.9204999995,2356653.4025999997,2206113.3257317618
2022-01-13,2525220.6998000005,2297426.20185,2422253.7414,2289322.9909499995,2381457.2025999995,2229693.5066089723
2022-01-16,2556668.5998000004,2326195.40185,2445362.2413999997,2304355.3615500005,2399804.2025999995,2251464.5747892233
2022-01-17,2542955.8998000002,2313417.30185,2439213.7414,2295383.1322500003,2392923.602599999,2244101.858460987
2022-01-18,2551320.6998000005,2321421.40185,2442027.8414000003,2300113.9941000002,2399645.7025999995,2250787.721143555
2022-01-19,2562251.0998000004,2324123.90185,2460377.4414,2306357.4646,2399616.5025999993,2256990.4009974375
2022-01-20,2590034.3998000002,2348133.20185,2512842.1414,2312694.5351500004,2408353.5025999993,2288781.1513653686
2022-01-23,2603153.0998000004,2374869.6018499997,2554638.8414000003,2305854.5057500005,2426255.0025999993,2326371.206064512
2022-01-24,2614246.2998000006,2388626.4018499996,2544497.0414,2309151.0767,2456403.102599999,2336368.607746858
2022-01-25,2621175.1998,2383772.1018499997,2524068.0414,2301444.93925,2466949.302599999,2326703.961696333
2022-01-26,2582329.0998000004,2360138.6018499997,2483945.2413999997,2273914.1104,2433111.7025999995,2299764.463301577
2022-01-27,2558073.0998000004,2342897.4018499996,2459702.2413999997,2264885.68135,2409409.5025999993,2279627.6287862593
2022-01-30,2566541.3998000002,2346855.6018499997,2486309.6414,2265031.4521999997,2415298.5025999993,2295985.1905092457
2022-01-31,2552526.7998000006,2336300.50185,2469999.5414000005,2260807.2231499995,2410225.999,2285545.404250783
2022-02-01,2555136.7998000006,2332179.30185,2444321.0414,2269101.2857999997,2413757.4953999994,2268866.843511813
2022-02-02,2550618.4998000003,2335908.30185,2440722.4414,2275281.9569999995,2410481.0953999995,2266107.5471747383
2022-02-03,2552766.0998000004,2333908.4018499996,2440689.0414,2277851.29815,2411501.7953999992,2268656.439785824
2022-02-06,2556777.6998000005,2344727.6018499997,2442591.3414000003,2281638.56895,2420790.2953999992,2282937.624774673
2022-02-07,2554977.9998000003,2338234.6018499997,2433733.2414,2279610.3011999996,2411469.1954,2271647.423351096
2022-02-08,2551473.4998000003,2335368.20185,2435885.0414,2283431.1417500004,2407657.3953999993,2268466.1085225707
